user_id,device_id,age_group,phone_condition,phone_duration,phone_history,primary_usage,internet_frequency,phone_sharing,internet_connection_type,phone_acquisition
User 11,Device 11,35–44,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Social media, Payments/financial apps, Work or business",Daily,Only me,Both equally,Bought by me
User 12,Device 12,45–54,Hand-me-down (from family/friends),1–2 years,"Yes, a mix","Calls and messaging, Payments/financial apps",Daily,Shared with family members,Mobile data,Bought by family
User 13,Device 13,Prefer not to say,Hand-me-down (from family/friends),Less than 6 months,"No, this is my first phone","Calls and messaging, Social media, Entertainment (videos/music/games), Work or business, Education/learning, Accessing government services, Payments/financial apps",Daily,Shared with family members,Both equally,Bought by family
User 14,Device 14,35–44,Used (purchased second-hand),1–2 years,"Yes, mostly used/second-hand phones","Work or business, Calls and messaging, Payments/financial apps",Almost all the time,Only me,Both equally,Bought by me
User 15,Device 15,35–44,New (purchased first-hand),2–3 years,"Yes, mostly new phones","Social media, Calls and messaging, Payments/financial apps",Daily,Shared with family members,Mobile data,Bought by family
User 16,Device 16,25–34,New (purchased first-hand),Less than 6 months,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Accessing government services",Daily,Only me,Wi-Fi,Bought by me
User 17,Device 17,25–34,Used (purchased second-hand),2–3 years,"Yes, a mix","Work or business, Calls and messaging, Social media, Entertainment (videos/music/games), Education/learning",Daily,Only me,Wi-Fi,Bought by me
User 18,Device 18,Under 18,Hand-me-down (from family/friends),Less than 6 months,"No, this is my first phone",Calls and messaging,A few times a week,Shared with family members,Both equally,Bought by family
User 19,Device 19,18–24,New (purchased first-hand),6–12 months,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Education/learning, Payments/financial apps",Almost all the time,Only me,Mobile data,Bought by me
User 20,Device 20,25–34,New (purchased first-hand),More than 3 years,"Yes, mostly new phones","Calls and messaging, Social media, Entertainment (videos/music/games), Payments/financial apps",Almost all the time,Only me,Both equally,Bought by me
