id,session_id,created_at,call_type,recorded_filename,direct_pesq,pstn_pesq,volte_pesq,voip_pesq
c14aeee6-643b-4f6f-8ecd-e21faf767969,8f189016-ba13-438a-9ea7-129c565b338e,2026-04-09 19:17:18.960276+05:30,device,webrtc_recording.wav,1.5960,2.3740,1.5970,1.6320
94234f4a-333d-4f3f-95bc-45430fba34f0,cbda3848-8e8d-4e20-8dc0-41191e1de7fd,2026-04-09 19:10:01.370233+05:30,device,webrtc_recording.wav,2.2100,3.0290,2.2300,2.2230
ca9ea3da-28b8-4522-8feb-90733e86ddbb,0cb95eb4-015c-4c34-914c-d52ac9c55692,2026-04-08 13:45:57.782152+05:30,device,webrtc_recording.wav,1.7380,2.3910,1.7360,1.7860
979a4b81-8f31-4514-a46a-322c3f704f00,6990a1fd-d674-48d6-94e4-5cfbc507dd05,2026-04-08 10:42:41.999297+05:30,device,webrtc_recording.wav,1.3900,1.9950,1.4000,1.4250
492089f9-6aeb-4f2e-839e-b4b24e914603,3e69b008-e853-47ae-97af-6c37d6f57e79,2026-04-07 13:14:20.303285+05:30,device,webrtc_recording.wav,1.1070,1.0520,1.0840,
38ac4074-d7b0-44e5-8813-06b181564bd2,89054a73-b8d0-47a7-ac47-3dfb053a9d4d,2026-04-07 12:57:19.251675+05:30,device,webrtc_recording.wav,1.1130,1.0500,1.0970,
506639b7-fd87-42e3-be7a-3218f081256d,947ea741-7c8b-4695-9c52-8bbef4c447d5,2026-04-06 22:58:01.176046+05:30,device,webrtc_recording.wav,1.1020,1.0460,1.0860,
8b73a7ca-58dd-4c3d-8bf6-a7c10db298b4,ee86070b-5c2d-4fed-accf-e544393cdb07,2026-04-06 20:18:04.075516+05:30,device,webrtc_recording.wav,1.0280,1.0250,1.0280,
7541b155-bd94-4dac-8823-b1596bf29c49,7b314963-c005-4373-b4e4-c8af3c5212a7,2026-04-06 19:03:24.854790+05:30,device,webrtc_recording.wav,1.0330,1.0320,1.0330,
ee2a12e4-1978-488d-8ee3-26e550a26eb3,b9358154-dbc4-4d4e-a3bc-7d5d4863c20a,2026-04-06 18:37:56.350904+05:30,device,webrtc_recording.wav,1.0440,1.0400,1.0440,
3c946a48-f796-4fee-ae4e-a75ef4600b7f,c7f1cdd9-96f5-45ce-b330-c6cb75203089,2026-04-06 17:38:41.851009+05:30,device,webrtc_recording.wav,1.0730,1.0480,1.0750,
451b48a1-37f6-4473-8793-d4ca5f3dc49b,,2026-04-06 16:20:09.982848+05:30,device,webrtc_recording.wav,1.0590,1.0240,1.0510,
e48a4b49-b997-4bb6-a36d-3835e50ca434,559377b4-6638-44e0-843d-1e0aaa408e0b,2026-04-06 16:13:02.457308+05:30,device,webrtc_recording.wav,1.0560,1.0380,1.0550,
ca550719-165b-4175-ae5a-b6dfbc2a2d68,9cbf2dea-51c1-45b0-899c-795c39b227be,2026-04-06 16:08:55.284783+05:30,device,webrtc_recording.wav,1.0450,1.0310,1.0380,
a99b7e24-d951-4ce7-8528-2c3248b06ee0,e48c5727-a899-45e0-8cab-ccdb51821589,2026-04-06 15:43:36.857904+05:30,device,webrtc_recording.wav,1.0550,1.0520,1.0520,
3f31ecb3-c952-45ef-bc1a-90d78fc5da8b,f6b6b5b8-8a94-4261-b664-2aa8460da679,2026-04-06 15:13:18.435366+05:30,device,webrtc_recording.wav,1.0540,1.0340,1.0530,
671c9be7-25f7-4ad8-a971-76c4e3a8ff30,24c8cbef-a326-442d-9611-490245fdaaa2,2026-04-06 13:15:41.262276+05:30,device,webrtc_recording.wav,1.0880,1.0450,1.0840,
7d96fc06-1067-41d7-b2d1-ed430f6d317e,24c8cbef-a326-442d-9611-490245fdaaa2,2026-04-06 13:10:44.813957+05:30,device,webrtc_recording.wav,1.0970,1.0420,1.0900,
6cc2836c-a367-4826-aa3a-7b752703d53d,7386c532-eb6f-4923-b0ed-a6417c66e461,2026-04-06 12:57:56.631886+05:30,device,webrtc_recording.wav,,,,
9c321747-5d8c-44c1-98c5-390320428423,8b881ab0-e2d5-4887-a5b0-edf109642ac2,2026-04-06 11:45:17.026242+05:30,device,webrtc_recording.wav,1.0340,1.0300,1.0350,
fa863d1f-1da2-4570-98c4-8e744cb61b72,98c4183d-f367-4578-92bc-8812a1559ac9,2026-04-05 12:59:18.025554+05:30,device,webrtc_recording.wav,1.0440,1.0280,1.0410,
ec6b77e1-3480-41b6-bca3-9694cb5bb5d9,f68fee3f-6ff0-4c39-8ad6-4216ce23db36,2026-04-05 12:56:06.477104+05:30,device,webrtc_recording.wav,,,,
e4d820e9-a317-4a8d-9996-3963112db5d0,d94ed196-a1cd-499d-b26b-6eb51896b902,2026-04-05 11:20:52.042207+05:30,device,webrtc_recording.wav,1.0310,1.0300,1.0300,
2c8cd4fc-3d8b-46b8-884a-c68ec5ece036,bf08dbfc-3e69-49de-9d8a-f2595fb10620,2026-04-05 01:35:53.467147+05:30,device,webrtc_recording.wav,1.0280,1.0210,1.0240,
ccba8a37-3080-4627-bd24-baae653c7088,7f45cee4-675d-4ec0-a86d-988194047c77,2026-04-05 01:32:34.919458+05:30,device,webrtc_recording.wav,1.0360,1.0220,1.0290,
